Gestion;2014;;;;;;;;;;;;;;;;;;;
Type budget;Budget général;;;;;;;;;;;;;;;;;;;
;;;;;Données;;;;;;;;;;;;;;;
Défense;146;11;91;Soutien DGA autres programmes;3 263 147;0;0;0;3 263 147;0;0;0;;;;;;;;
Défense;146;11;93;Soutien - Expérimentation Terre;52 090 083;52 336 908;0;52 336 908;52 090 083;52 336 908;0;52 336 908;;;;;;;;
Défense;146;11;94;Soutien - Expérimentation Marine;18 650 248;19 240 384;0;19 240 384;18 650 248;19 240 384;0;19 240 384;;;;;;;;
Défense;146;11;95;Soutien - Expérimentation Air;55 734 704;57 156 252;0;57 156 252;55 734 704;57 156 252;0;57 156 252;;;;;;;;
Défense;146;12;;Soutien - Expérimentation Air;0;0;0;0;0;0;0;0;;;;;;;;
Défense;146;12;96;Parts étrangères;0;0;0;0;0;0;0;0;;;;;;;;
Défense;146;12;97;Programmes civils;0;0;0;0;0;0;0;0;;;;;;;;
Défense;178;01;;Programmes civils;1 612 468 151;1 555 160 759;0;1 555 160 759;1 605 316 151;1 580 382 092;0;1 580 382 092;;;;;;;;
Défense;178;01;10;Emploi des forces;754 482 374;722 205 835;0;722 205 835;752 090 374;720 620 838;0;720 620 838;;;;;;;;
Défense;178;01;11;Renseignement d'intérêt militaire;161 429 795;167 811 503;0;167 811 503;161 429 795;167 345 118;0;167 345 118;;;;;;;;
Défense;178;01;14;Systèmes d'information et de communication;696 555 982;665 143 421;0;665 143 421;691 795 982;692 416 136;0;692 416 136;;;;;;;;
Défense;178;01;16;Commandement des armées;0;0;0;0;0;0;0;0;;;;;;;;
Défense;178;01;17;Organismes interarmées à vocation opérationnelle;0;0;0;0;0;0;0;0;;;;;;;;
Défense;178;01;18;Organismes interarmées à vocation prospective et maitrise des armements;0;0;0;0;0;0;0;0;;;;;;;;
Défense;178;01;19;Enseignement interarmées;0;0;0;0;0;0;0;0;;;;;;;;
Défense;178;01;20;Participations organismes multinationaux et étrangers;0;0;0;0;0;0;0;0;;;;;;;;
Défense;178;02;;Participations organismes multinationaux et étrangers;7 829 837 186;7 565 178 410;0;7 565 178 410;7 658 993 522;7 520 155 166;0;7 520 155 166;;;;;;;;
Défense;178;02;01;Commandement et activités des forces terrestres;237 265 056;152 525 373;0;152 525 373;235 735 056;152 525 373;0;152 525 373;;;;;;;;
Défense;178;02;05;Ressources humaines des forces terrestres;6 459 917 619;6 265 483 765;0;6 265 483 765;6 459 913 619;6 265 483 765;0;6 265 483 765;;;;;;;;
Défense;178;02;07;Maintien en condition opérationnelle du matériel des forces terrestres;868 613 235;782 582 331;0;782 582 331;696 677 571;741 628 920;0;741 628 920;;;;;;;;
Défense;178;02;08;Environnement opérationnel des forces terrestres;264 041 276;364 586 941;0;364 586 941;266 667 276;360 517 108;0;360 517 108;;;;;;;;
Défense;178;03;;Environnement opérationnel des forces terrestres;4 273 689 416;4 605 063 202;0;4 605 063 202;4 308 331 416;4 455 844 870;0;4 455 844 870;;;;;;;;
Défense;178;03;01;Commandement et activités des forces navales;239 497 000;263 935 803;0;263 935 803;239 497 000;263 285 642;0;263 285 642;;;;;;;;
Défense;178;03;05;Ressources humaines ds forces navales;2 521 182 416;2 531 795 427;0;2 531 795 427;2 520 842 416;2 531 738 473;0;2 531 738 473;;;;;;;;
Défense;178;03;07;Maintien en condition opérationnelle du matériel des forces navales;1 372 335 000;1 670 878 443;0;1 670 878 443;1 408 163 000;1 523 382 768;0;1 523 382 768;;;;;;;;
Défense;178;03;08;Environnement opérationnel des forces navales;140 675 000;138 453 529;0;138 453 529;139 829 000;137 437 987;0;137 437 987;;;;;;;;
Défense;178;03;09;Rémunération des ouvriers de l'État de la DCNS;0;0;0;0;0;0;0;0;;;;;;;;
Défense;178;04;;Rémunération des ouvriers de l'État de la DCNS;4 759 770 990;4 444 029 439;0;4 444 029 439;4 356 372 990;4 331 995 115;0;4 331 995 115;;;;;;;;
Défense;178;04;02;Commandement et activités centralisées des forces aériennes;4 211 000;11 960 000;0;11 960 000;4 211 000;11 960 000;0;11 960 000;;;;;;;;
Défense;178;04;03;Activités des forces aériennes;285 572 000;239 144 566;0;239 144 566;285 572 000;239 144 566;0;239 144 566;;;;;;;;
Défense;178;04;04;Activités des forces aériennes stratégiques;28 722 000;45 030 900;0;45 030 900;28 722 000;45 030 900;0;45 030 900;;;;;;;;
Défense;178;04;05;Ressources humaines des forces aériennes;2 640 315 990;2 600 054 356;0;2 600 054 356;2 640 315 990;2 600 054 356;0;2 600 054 356;;;;;;;;
Défense;178;04;06;Entretien et équipements des forces aériennes;1 800 950 000;1 547 839 617;0;1 547 839 617;1 397 552 000;1 435 805 293;0;1 435 805 293;;;;;;;;
Défense;178;04;09;Service industriel aéronautique (SIAé) (personnel et fonctionnement);0;0;0;0;0;0;0;0;;;;;;;;
Défense;178;05;;Service industriel aéronautique (SIAé) (personnel et fonctionnement);3 942 354 316;4 059 019 248;0;4 059 019 248;3 862 954 316;3 853 836 762;0;3 853 836 762;;;;;;;;
Défense;178;05;80;Fonction santé;1 027 597 686;1 032 613 336;0;1 032 613 336;930 597 686;934 716 218;0;934 716 218;;;;;;;;
Défense;178;05;81;Fonction pétrolière;154 790 150;158 037 089;0;158 037 089;154 790 150;157 730 212;0;157 730 212;;;;;;;;
Défense;178;05;82;Soutien des forces par les bases de défense;2 185 920 197;2 356 202 780;0;2 356 202 780;2 199 920 197;2 245 217 541;0;2 245 217 541;;;;;;;;
Défense;178;05;83;Soutiens complémentaires;158 123 950;142 270 062;0;142 270 062;161 723 950;146 470 062;0;146 470 062;;;;;;;;
Défense;178;05;84;Service interarmées des munitions;100 459 308;90 299 190;0;90 299 190;100 459 308;90 245 135;0;90 245 135;;;;;;;;
Défense;178;05;85;Service du commissariat aux armées;315 463 025;279 596 791;0;279 596 791;315 463 025;279 457 594;0;279 457 594;;;;;;;;
Défense;178;06;;Service du commissariat aux armées;630 000 000;450 000 000;0;450 000 000;630 000 000;450 000 000;0;450 000 000;;;;;;;;
Défense;178;07;;Service du commissariat aux armées;11 000 000;11 000 000;0;11 000 000;11 000 000;11 000 000;0;11 000 000;;;;;;;;
Défense;212;04;;Service du commissariat aux armées;1 817 873 504;1 824 118 543;0;1 824 118 543;1 156 758 667;1 261 801 473;0;1 261 801 473;;;;;;;;
Défense;212;05;;Service du commissariat aux armées;118 261 375;132 305 420;0;132 305 420;106 231 151;132 190 593;0;132 190 593;;;;;;;;
Défense;212;06;;Service du commissariat aux armées;496 219 706;525 930 580;0;525 930 580;496 104 318;522 330 580;0;522 330 580;;;;;;;;
Défense;212;06;03;Reconversion;179 117 997;202 389 079;0;202 389 079;179 096 622;198 789 079;0;198 789 079;;;;;;;;
Défense;212;06;04;Action sociale et autres politiques de ressources humaines;317 101 709;323 541 501;0;323 541 501;317 007 696;323 541 501;0;323 541 501;;;;;;;;
Défense;212;08;;Action sociale et autres politiques de ressources humaines;65 677 930;69 139 964;0;69 139 964;66 004 204;68 730 704;0;68 730 704;;;;;;;;
Défense;212;08;01;Actions culturelles et mise en valeur du patrimoine;23 858 798;26 190 884;0;26 190 884;23 838 967;26 190 884;0;26 190 884;;;;;;;;
Défense;212;08;02;Gestion et communication des archives historiques de la défense;41 819 132;42 949 080;0;42 949 080;42 165 237;42 539 820;0;42 539 820;;;;;;;;
Défense;212;10;;Gestion et communication des archives historiques de la défense;357 476 668;306 049 674;0;306 049 674;331 002 518;334 077 633;0;334 077 633;;;;;;;;
Défense;212;11;;Gestion et communication des archives historiques de la défense;652 221 588;745 312 629;0;745 312 629;690 701 378;695 865 907;0;695 865 907;;;;;;;;
Défense;402;01;;Gestion et communication des archives historiques de la défense;0;1 328 100 000;0;1 328 100 000;0;1 328 100 000;0;1 328 100 000;;;;;;;;
Défense;402;02;;Gestion et communication des archives historiques de la défense;0;171 900 000;0;171 900 000;0;171 900 000;0;171 900 000;;;;;;;;
Direction de l'action du Gouvernement;129;01;;Gestion et communication des archives historiques de la défense;136 650 478;126 225 231;0;126 225 231;138 890 478;128 825 261;0;128 825 261;;;;;;;;
Direction de l'action du Gouvernement;129;02;;Gestion et communication des archives historiques de la défense;245 089 790;243 109 458;0;243 109 458;250 040 566;245 157 163;0;245 157 163;;;;;;;;
Direction de l'action du Gouvernement;129;03;;Gestion et communication des archives historiques de la défense;15 786 361;16 073 224;0;16 073 224;15 786 361;16 073 224;0;16 073 224;;;;;;;;
Direction de l'action du Gouvernement;129;10;;Gestion et communication des archives historiques de la défense;80 587 349;75 357 631;0;75 357 631;78 583 171;79 018 368;0;79 018 368;;;;;;;;
Direction de l'action du Gouvernement;129;11;;Gestion et communication des archives historiques de la défense;27 101 079;25 234 077;0;25 234 077;27 101 079;25 234 077;0;25 234 077;;;;;;;;
Direction de l'action du Gouvernement;129;13;;Gestion et communication des archives historiques de la défense;25 884 885;25 606 353;0;25 606 353;25 884 885;25 606 353;0;25 606 353;;;;;;;;
Direction de l'action du Gouvernement;129;14;;Gestion et communication des archives historiques de la défense;1 345 159;1 354 652;0;1 354 652;1 345 159;1 354 652;0;1 354 652;;;;;;;;
Direction de l'action du Gouvernement;129;15;;Gestion et communication des archives historiques de la défense;21 933 714;20 928 595;0;20 928 595;21 933 714;20 928 595;0;20 928 595;;;;;;;;
Direction de l'action du Gouvernement;308;02;;Gestion et communication des archives historiques de la défense;15 544 257;15 895 919;0;15 895 919;17 523 773;17 944 639;0;17 944 639;;;;;;;;
Direction de l'action du Gouvernement;308;03;;Gestion et communication des archives historiques de la défense;32 008 103;31 031 363;0;31 031 363;37 008 103;35 781 363;0;35 781 363;;;;;;;;
Direction de l'action du Gouvernement;308;05;;Gestion et communication des archives historiques de la défense;4 039 214;5 174 451;0;5 174 451;4 294 104;4 559 333;0;4 559 333;;;;;;;;
Direction de l'action du Gouvernement;308;06;;Gestion et communication des archives historiques de la défense;3 052 134;3 097 438;0;3 097 438;3 052 134;3 097 438;0;3 097 438;;;;;;;;
Direction de l'action du Gouvernement;308;07;;Gestion et communication des archives historiques de la défense;788 163;807 211;0;807 211;788 163;807 211;0;807 211;;;;;;;;
Direction de l'action du Gouvernement;308;09;;Gestion et communication des archives historiques de la défense;24 870 880;39 163 106;0;39 163 106;29 044 420;29 436 496;0;29 436 496;;;;;;;;
Direction de l'action du Gouvernement;308;10;;Gestion et communication des archives historiques de la défense;0;3 750 000;0;3 750 000;0;2 850 000;0;2 850 000;;;;;;;;
Direction de l'action du Gouvernement;333;01;;Gestion et communication des archives historiques de la défense;95 586 130;91 500 000;0;91 500 000;95 586 130;91 500 000;0;91 500 000;;;;;;;;
Direction de l'action du Gouvernement;333;02;;Gestion et communication des archives historiques de la défense;415 079 678;399 310 726;0;399 310 726;355 010 191;354 010 191;0;354 010 191;;;;;;;;
Direction de l'action du Gouvernement;333;03;;Gestion et communication des archives historiques de la défense;107 718 348;106 884 513;0;106 884 513;107 718 348;106 884 513;0;106 884 513;;;;;;;;
Direction de l'action du Gouvernement;401;01;;Gestion et communication des archives historiques de la défense;0;150 000 000;0;150 000 000;0;150 000 000;0;150 000 000;;;;;;;;
Écologie, développement et mobilité durables;113;01;;Gestion et communication des archives historiques de la défense;6 506 000;7 176 000;0;7 176 000;6 506 000;6 176 000;0;6 176 000;;;;;;;;
Écologie, développement et mobilité durables;113;02;;Gestion et communication des archives historiques de la défense;3 640 000;6 562 625;0;6 562 625;3 640 000;6 214 500;0;6 214 500;;;;;;;;
Écologie, développement et mobilité durables;113;07;;Gestion et communication des archives historiques de la défense;269 055 214;265 942 309;0;265 942 309;265 641 548;264 135 871;0;264 135 871;;;;;;;;
Écologie, développement et mobilité durables;113;08;;Gestion et communication des archives historiques de la défense;0;0;0;0;2 113 583;2 023 583;0;2 023 583;;;;;;;;
Écologie, développement et mobilité durables;159;01;;Gestion et communication des archives historiques de la défense;80 460 000;81 168 800;0;81 168 800;80 460 000;81 168 800;0;81 168 800;;;;;;;;
Écologie, développement et mobilité durables;159;02;;Gestion et communication des archives historiques de la défense;15 100 000;15 231 229;0;15 231 229;15 100 000;15 231 229;0;15 231 229;;;;;;;;
Écologie, développement et mobilité durables;159;03;;Gestion et communication des archives historiques de la défense;560 000;560 000;0;560 000;560 000;560 000;0;560 000;;;;;;;;
Écologie, développement et mobilité durables;170;01;;Gestion et communication des archives historiques de la défense;191 730 800;185 619 497;0;185 619 497;191 730 800;185 619 497;0;185 619 497;;;;;;;;
Écologie, développement et mobilité durables;170;02;;Gestion et communication des archives historiques de la défense;23 729 200;22 941 736;0;22 941 736;23 729 200;22 941 736;0;22 941 736;;;;;;;;
Écologie, développement et mobilité durables;174;01;;Gestion et communication des archives historiques de la défense;5 551 000;5 860 000;0;5 860 000;6 442 003;6 220 324;0;6 220 324;;;;;;;;
Écologie, développement et mobilité durables;174;04;;Gestion et communication des archives historiques de la défense;589 178 962;549 516 962;0;549 516 962;594 158 772;554 416 962;0;554 416 962;;;;;;;;
Écologie, développement et mobilité durables;174;05;;Gestion et communication des archives historiques de la défense;85 009 358;35 003 844;0;35 003 844;85 009 358;35 003 844;0;35 003 844;;;;;;;;
Écologie, développement et mobilité durables;174;06;;Gestion et communication des archives historiques de la défense;1 847 446;1 847 446;0;1 847 446;1 847 446;1 847 446;0;1 847 446;;;;;;;;
Écologie, développement et mobilité durables;181;01;;Gestion et communication des archives historiques de la défense;231 720 500;252 173 043;0;252 173 043;142 441 065;114 373 043;0;114 373 043;;;;;;;;
Écologie, développement et mobilité durables;181;09;;Gestion et communication des archives historiques de la défense;53 270 850;54 156 477;0;54 156 477;58 286 122;59 171 749;0;59 171 749;;;;;;;;
Écologie, développement et mobilité durables;181;10;;Gestion et communication des archives historiques de la défense;42 610 000;37 840 000;0;37 840 000;41 750 000;37 840 000;0;37 840 000;;;;;;;;
Écologie, développement et mobilité durables;181;11;;Gestion et communication des archives historiques de la défense;41 800 000;41 800 000;0;41 800 000;41 800 000;41 800 000;0;41 800 000;;;;;;;;
Écologie, développement et mobilité durables;203;01;;Gestion et communication des archives historiques de la défense;1 000;0;0;0;1 000;0;0;0;;;;;;;;
Écologie, développement et mobilité durables;203;10;;Gestion et communication des archives historiques de la défense;3 225 131 962;2 886 232 825;0;2 886 232 825;3 225 131 962;2 886 232 825;0;2 886 232 825;;;;;;;;
Écologie, développement et mobilité durables;203;11;;Gestion et communication des archives historiques de la défense;347 360 645;328 443 803;0;328 443 803;352 219 201;341 729 147;0;341 729 147;;;;;;;;
Écologie, développement et mobilité durables;203;12;;Gestion et communication des archives historiques de la défense;337 178 491;335 315 940;0;335 315 940;341 966 056;340 775 940;0;340 775 940;;;;;;;;
Écologie, développement et mobilité durables;203;13;;Gestion et communication des archives historiques de la défense;100 493 532;49 096 294;0;49 096 294;105 484 738;54 096 294;0;54 096 294;;;;;;;;
Écologie, développement et mobilité durables;203;14;;Gestion et communication des archives historiques de la défense;17 778 556;23 825 326;0;23 825 326;27 672 573;28 025 326;0;28 025 326;;;;;;;;
Écologie, développement et mobilité durables;203;15;;Gestion et communication des archives historiques de la défense;23 704 638;19 101 645;0;19 101 645;23 704 638;19 101 645;0;19 101 645;;;;;;;;
Écologie, développement et mobilité durables;205;01;;Gestion et communication des archives historiques de la défense;26 205 578;26 118 328;0;26 118 328;25 360 308;26 587 347;0;26 587 347;;;;;;;;
Écologie, développement et mobilité durables;205;02;;Gestion et communication des archives historiques de la défense;26 698 262;30 200 719;0;30 200 719;26 698 021;30 200 719;0;30 200 719;;;;;;;;
Écologie, développement et mobilité durables;205;03;;Gestion et communication des archives historiques de la défense;72 151 381;71 065 000;0;71 065 000;72 150 733;71 065 000;0;71 065 000;;;;;;;;
Écologie, développement et mobilité durables;205;04;;Gestion et communication des archives historiques de la défense;10 937 129;10 150 304;0;10 150 304;10 847 323;10 235 304;0;10 235 304;;;;;;;;
Écologie, développement et mobilité durables;205;05;;Gestion et communication des archives historiques de la défense;6 340 607;6 054 729;0;6 054 729;6 739 254;6 454 729;0;6 454 729;;;;;;;;
Écologie, développement et mobilité durables;205;06;;Gestion et communication des archives historiques de la défense;51 880 632;49 500 000;0;49 500 000;51 880 166;49 500 000;0;49 500 000;;;;;;;;
Écologie, développement et mobilité durables;217;01;;Gestion et communication des archives historiques de la défense;59 177 957;241 426 429;0;241 426 429;59 177 957;241 426 429;0;241 426 429;;;;;;;;
Écologie, développement et mobilité durables;217;02;;Gestion et communication des archives historiques de la défense;2 953 537;2 892 798;0;2 892 798;2 953 537;2 892 798;0;2 892 798;;;;;;;;
Écologie, développement et mobilité durables;217;03;;Gestion et communication des archives historiques de la défense;122 859 242;536 767 329;0;536 767 329;171 751 094;164 659 569;0;164 659 569;;;;;;;;
Écologie, développement et mobilité durables;217;04;;Gestion et communication des archives historiques de la défense;20 093 638;25 423 737;0;25 423 737;21 968 585;25 423 737;0;25 423 737;;;;;;;;
Écologie, développement et mobilité durables;217;05;;Gestion et communication des archives historiques de la défense;211 895 575;207 579 785;0;207 579 785;211 895 575;207 579 785;0;207 579 785;;;;;;;;
Écologie, développement et mobilité durables;217;06;;Gestion et communication des archives historiques de la défense;9 082 577;9 104 421;0;9 104 421;9 082 577;9 104 421;0;9 104 421;;;;;;;;
Écologie, développement et mobilité durables;217;07;;Gestion et communication des archives historiques de la défense;510 905 368;497 040 879;0;497 040 879;510 905 368;497 040 879;0;497 040 879;;;;;;;;
Écologie, développement et mobilité durables;217;08;;Gestion et communication des archives historiques de la défense;645 927 204;635 721 650;0;635 721 650;645 927 204;635 721 650;0;635 721 650;;;;;;;;
Écologie, développement et mobilité durables;217;09;;Gestion et communication des archives historiques de la défense;43 025 968;39 495 691;0;39 495 691;43 025 968;39 495 691;0;39 495 691;;;;;;;;
Écologie, développement et mobilité durables;217;11;;Gestion et communication des archives historiques de la défense;182 877 881;182 412 263;0;182 412 263;182 877 881;182 412 263;0;182 412 263;;;;;;;;
Écologie, développement et mobilité durables;217;13;;Gestion et communication des archives historiques de la défense;212 127 971;214 083 832;0;214 083 832;212 127 971;214 083 832;0;214 083 832;;;;;;;;
Écologie, développement et mobilité durables;217;14;;Gestion et communication des archives historiques de la défense;156 493 074;12 160 956;0;12 160 956;156 493 074;12 160 956;0;12 160 956;;;;;;;;
Écologie, développement et mobilité durables;217;15;;Gestion et communication des archives historiques de la défense;0;0;0;0;0;0;0;0;;;;;;;;
Écologie, développement et mobilité durables;217;16;;Gestion et communication des archives historiques de la défense;221 057 642;223 785 981;0;223 785 981;221 057 642;223 785 981;0;223 785 981;;;;;;;;
Écologie, développement et mobilité durables;217;18;;Gestion et communication des archives historiques de la défense;0;0;0;0;0;0;0;0;;;;;;;;
Écologie, développement et mobilité durables;217;22;;Gestion et communication des archives historiques de la défense;14 829 533;15 721 692;0;15 721 692;14 829 533;15 721 692;0;15 721 692;;;;;;;;
Écologie, développement et mobilité durables;217;23;;Gestion et communication des archives historiques de la défense;53 720 415;54 708 916;0;54 708 916;53 720 415;54 708 916;0;54 708 916;;;;;;;;
Écologie, développement et mobilité durables;217;24;;Gestion et communication des archives historiques de la défense;1 998 816;2 041 143;0;2 041 143;1 998 816;2 041 143;0;2 041 143;;;;;;;;
Écologie, développement et mobilité durables;217;25;;Gestion et communication des archives historiques de la défense;2 296 251;2 426 251;0;2 426 251;2 296 251;2 426 251;0;2 426 251;;;;;;;;
Écologie, développement et mobilité durables;217;26;;Gestion et communication des archives historiques de la défense;1 498 058;1 597 058;0;1 597 058;1 498 058;1 597 058;0;1 597 058;;;;;;;;
Écologie, développement et mobilité durables;403;01;;Gestion et communication des archives historiques de la défense;0;800 000 000;0;800 000 000;0;800 000 000;0;800 000 000;;;;;;;;
Écologie, développement et mobilité durables;403;02;;Gestion et communication des archives historiques de la défense;0;300 000 000;0;300 000 000;0;300 000 000;0;300 000 000;;;;;;;;
Écologie, développement et mobilité durables;404;01;;Gestion et communication des archives historiques de la défense;0;70 000 000;0;70 000 000;0;70 000 000;0;70 000 000;;;;;;;;
Écologie, développement et mobilité durables;404;02;;Gestion et communication des archives historiques de la défense;0;400 000 000;0;400 000 000;0;400 000 000;0;400 000 000;;;;;;;;
Écologie, développement et mobilité durables;414;01;;Gestion et communication des archives historiques de la défense;0;35 000 000;0;35 000 000;0;35 000 000;0;35 000 000;;;;;;;;
Écologie, développement et mobilité durables;414;02;;Gestion et communication des archives historiques de la défense;0;335 000 000;0;335 000 000;0;335 000 000;0;335 000 000;;;;;;;;
Économie;134;02;;Gestion et communication des archives historiques de la défense;101 447 569;88 141 381;0;88 141 381;101 447 569;88 141 381;0;88 141 381;;;;;;;;
Économie;134;03;;Gestion et communication des archives historiques de la défense;202 666 186;186 119 668;0;186 119 668;213 265 759;195 819 816;0;195 819 816;;;;;;;;
Économie;134;04;;Gestion et communication des archives historiques de la défense;293 905 000;194 832 213;0;194 832 213;293 905 000;194 832 213;0;194 832 213;;;;;;;;
Économie;134;05;;Gestion et communication des archives historiques de la défense;0;50 000 000;0;50 000 000;0;50 000 000;0;50 000 000;;;;;;;;
Économie;134;07;;Gestion et communication des archives historiques de la défense;103 925 000;97 800 000;0;97 800 000;103 925 000;97 800 000;0;97 800 000;;;;;;;;
Économie;134;08;;Gestion et communication des archives historiques de la défense;17 905 986;18 640 511;0;18 640 511;17 905 986;18 640 511;0;18 640 511;;;;;;;;
Économie;134;13;;Gestion et communication des archives historiques de la défense;22 865 064;22 855 385;0;22 855 385;22 865 064;22 855 385;0;22 855 385;;;;;;;;
Économie;134;14;;Gestion et communication des archives historiques de la défense;19 332 869;18 939 304;0;18 939 304;19 332 869;18 939 304;0;18 939 304;;;;;;;;
Économie;134;15;;Gestion et communication des archives historiques de la défense;20 633 141;20 751 901;0;20 751 901;20 633 141;20 751 901;0;20 751 901;;;;;;;;
Économie;134;16;;Gestion et communication des archives historiques de la défense;70 477 600;72 097 518;0;72 097 518;70 477 600;72 097 518;0;72 097 518;;;;;;;;
Économie;134;17;;Gestion et communication des archives historiques de la défense;121 044 013;122 182 981;0;122 182 981;121 785 603;120 816 081;0;120 816 081;;;;;;;;
Économie;134;18;;Gestion et communication des archives historiques de la défense;42 712 905;45 268 419;0;45 268 419;42 712 905;45 268 419;0;45 268 419;;;;;;;;
Économie;134;19;;Gestion et communication des archives historiques de la défense;0;0;0;0;0;0;0;0;;;;;;;;
Économie;134;20;;Gestion et communication des archives historiques de la défense;19 667 000;43 712 807;0;43 712 807;19 667 000;43 712 807;0;43 712 807;;;;;;;;
Économie;134;21;;Gestion et communication des archives historiques de la défense;44 595 264;35 135 314;0;35 135 314;38 714 793;37 219 307;0;37 219 307;;;;;;;;
Économie;220;01;;Gestion et communication des archives historiques de la défense;148 878 872;150 546 385;0;150 546 385;148 406 179;150 612 418;0;150 612 418;;;;;;;;
Économie;220;02;;Gestion et communication des archives historiques de la défense;52 781 160;52 549 765;0;52 549 765;52 738 318;52 737 764;0;52 737 764;;;;;;;;
Économie;220;03;;Gestion et communication des archives historiques de la défense;68 972 547;68 705 797;0;68 705 797;68 891 146;69 183 668;0;69 183 668;;;;;;;;
Économie;220;05;;Gestion et communication des archives historiques de la défense;128 901 531;133 972 415;0;133 972 415;128 330 301;128 828 837;0;128 828 837;;;;;;;;
Économie;220;06;;Gestion et communication des archives historiques de la défense;56 498 365;56 118 061;0;56 118 061;56 486 940;56 168 193;0;56 168 193;;;;;;;;
Économie;305;01;;Gestion et communication des archives historiques de la défense;399 622 323;384 981 353;0;384 981 353;399 622 323;384 981 353;0;384 981 353;;;;;;;;
Économie;305;02;;Gestion et communication des archives historiques de la défense;93 166 049;91 870 021;0;91 870 021;93 166 049;91 870 021;0;91 870 021;;;;;;;;
Économie;305;03;;Gestion et communication des archives historiques de la défense;15 868 339;15 739 887;0;15 739 887;15 868 339;15 739 887;0;15 739 887;;;;;;;;
Économie;405;01;;Gestion et communication des archives historiques de la défense;0;330 000 000;0;330 000 000;0;330 000 000;0;330 000 000;;;;;;;;
Économie;405;02;;Gestion et communication des archives historiques de la défense;0;30 000 000;0;30 000 000;0;30 000 000;0;30 000 000;;;;;;;;
Économie;405;03;;Gestion et communication des archives historiques de la défense;0;60 000 000;0;60 000 000;0;60 000 000;0;60 000 000;;;;;;;;
Économie;406;01;;Gestion et communication des archives historiques de la défense;0;150 000 000;0;150 000 000;0;150 000 000;0;150 000 000;;;;;;;;
Économie;406;02;;Gestion et communication des archives historiques de la défense;0;240 000 000;0;240 000 000;0;240 000 000;0;240 000 000;;;;;;;;
Économie;406;02;01;Soutien à un fonds souverain de la propriété intellectuelle;0;100 000 000;0;100 000 000;0;100 000 000;0;100 000 000;;;;;;;;
Économie;406;02;02;Soutien à l'innovation de modèle et de procédé;0;120 000 000;0;120 000 000;0;120 000 000;0;120 000 000;;;;;;;;
Économie;406;02;03;Culture de l'innovation et de l'entrepreneuriat;0;20 000 000;0;20 000 000;0;20 000 000;0;20 000 000;;;;;;;;
Économie;406;03;;Culture de l'innovation et de l'entrepreneuriat;0;300 000 000;0;300 000 000;0;300 000 000;0;300 000 000;;;;;;;;
Économie;407;01;;Culture de l'innovation et de l'entrepreneuriat;0;215 000 000;0;215 000 000;0;215 000 000;0;215 000 000;;;;;;;;
Économie;407;02;;Culture de l'innovation et de l'entrepreneuriat;0;350 000 000;0;350 000 000;0;350 000 000;0;350 000 000;;;;;;;;
Égalité des territoires, logement et ville;109;01;;Culture de l'innovation et de l'entrepreneuriat;4 875 699 897;5 048 683 259;0;5 048 683 259;4 875 699 897;5 048 683 259;0;5 048 683 259;;;;;;;;
Égalité des territoires, logement et ville;109;02;;Culture de l'innovation et de l'entrepreneuriat;8 248 000;8 000 000;0;8 000 000;8 248 000;8 000 000;0;8 000 000;;;;;;;;
Égalité des territoires, logement et ville;109;03;;Culture de l'innovation et de l'entrepreneuriat;9 000 000;9 000 000;0;9 000 000;9 000 000;9 000 000;0;9 000 000;;;;;;;;
Égalité des territoires, logement et ville;135;01;;Culture de l'innovation et de l'entrepreneuriat;503 224 500;455 000 000;0;455 000 000;438 115 500;281 928 500;0;281 928 500;;;;;;;;
Égalité des territoires, logement et ville;135;02;;Culture de l'innovation et de l'entrepreneuriat;4 303 000;4 100 000;0;4 100 000;4 303 000;4 100 000;0;4 100 000;;;;;;;;
Égalité des territoires, logement et ville;135;03;;Culture de l'innovation et de l'entrepreneuriat;7 910 000;6 500 000;0;6 500 000;7 910 000;6 500 000;0;6 500 000;;;;;;;;
Égalité des territoires, logement et ville;135;04;;Culture de l'innovation et de l'entrepreneuriat;46 676 000;51 312 544;0;51 312 544;46 676 000;51 312 544;0;51 312 544;;;;;;;;
Égalité des territoires, logement et ville;135;05;;Culture de l'innovation et de l'entrepreneuriat;17 726 717;17 029 087;0;17 029 087;17 726 717;17 029 087;0;17 029 087;;;;;;;;
Égalité des territoires, logement et ville;135;07;;Culture de l'innovation et de l'entrepreneuriat;47 060 500;46 000 000;0;46 000 000;47 060 500;46 000 000;0;46 000 000;;;;;;;;
Égalité des territoires, logement et ville;135;08;;Culture de l'innovation et de l'entrepreneuriat;0;0;0;0;0;0;0;0;;;;;;;;
Égalité des territoires, logement et ville;147;01;;Culture de l'innovation et de l'entrepreneuriat;331 991 794;332 418 427;0;332 418 427;331 991 794;332 418 427;0;332 418 427;;;;;;;;
Égalité des territoires, logement et ville;147;02;;Culture de l'innovation et de l'entrepreneuriat;141 553 671;135 223 591;0;135 223 591;141 553 671;120 996 364;0;120 996 364;;;;;;;;
Égalité des territoires, logement et ville;147;03;;Culture de l'innovation et de l'entrepreneuriat;27 996 402;25 046 081;0;25 046 081;25 878 700;25 073 706;0;25 073 706;;;;;;;;
Égalité des territoires, logement et ville;147;04;;Culture de l'innovation et de l'entrepreneuriat;2 063 000;0;0;0;4 263 000;2 911 503;0;2 911 503;;;;;;;;
