Gestion;2014;;;;;;;;;;;;;;;;;;;
Type budget;Budget général;;;;;;;;;;;;;;;;;;;
;;;;Données;;;;;;;;;;;;;;;;
Culture;175;09;5;500 000;7 000 000;0;7 000 000;500 000;1 500 000;0;1 500 000;;;;;;;;;
Culture;175;09;6;6 547 000;9 698 372;0;9 698 372;6 602 000;7 095 000;0;7 095 000;;;;;;;;;
Culture;224;01;3;131 297 827;138 797 590;0;138 797 590;131 297 827;138 797 590;0;138 797 590;;;;;;;;;
Culture;224;01;5;3 840 000;9 900 000;0;9 900 000;18 500 000;21 980 000;0;21 980 000;;;;;;;;;
Culture;224;01;6;75 370 287;82 729 395;0;82 729 395;74 770 129;80 529 395;0;80 529 395;;;;;;;;;
Culture;224;01;7;7 670 544;7 632 579;0;7 632 579;7 670 544;7 632 579;0;7 632 579;;;;;;;;;
Culture;224;02;3;1 933 365;2 033 365;0;2 033 365;1 933 365;2 033 365;0;2 033 365;;;;;;;;;
Culture;224;02;6;81 803 749;76 951 000;0;76 951 000;81 803 749;76 951 000;0;76 951 000;;;;;;;;;
Culture;224;03;6;21 921 000;15 000 000;0;15 000 000;21 921 000;15 000 000;0;15 000 000;;;;;;;;;
Culture;224;06;6;6 150 932;5 992 059;0;5 992 059;6 150 932;5 992 059;0;5 992 059;;;;;;;;;
Culture;224;07;2;659 539 911;658 087 228;0;658 087 228;659 539 911;658 087 228;0;658 087 228;;;;;;;;;
Culture;224;07;3;75 123 834;74 866 437;0;74 866 437;75 123 834;74 670 288;0;74 670 288;;;;;;;;;
Culture;224;07;5;9 100 000;9 200 000;0;9 200 000;7 184 290;7 657 641;0;7 657 641;;;;;;;;;
Défense;144;03;2;469 465 471;480 982 274;0;480 982 274;469 465 471;480 982 274;0;480 982 274;;;;;;;;;
Défense;144;03;3;156 701 077;130 296 715;0;130 296 715;141 359 268;129 024 203;0;129 024 203;;;;;;;;;
Défense;144;03;5;113 328 793;70 514 691;0;70 514 691;84 180 293;133 904 456;0;133 904 456;;;;;;;;;
Défense;144;03;6;18 500;0;0;0;18 500;0;0;0;;;;;;;;;
Défense;144;07;2;77 339 998;82 209 708;0;82 209 708;77 339 998;82 209 708;0;82 209 708;;;;;;;;;
Défense;144;07;3;1 010 552 335;1 065 649 519;0;1 065 649 519;978 114 153;1 003 411 162;0;1 003 411 162;;;;;;;;;
Défense;144;07;6;24 814 417;28 084 906;0;28 084 906;24 814 417;28 084 906;0;28 084 906;;;;;;;;;
Défense;144;07;7;0;5 500 000;0;5 500 000;0;5 500 000;0;5 500 000;;;;;;;;;
Défense;144;08;2;86 276 115;81 170 529;0;81 170 529;86 276 115;81 170 529;0;81 170 529;;;;;;;;;
Défense;144;08;3;13 955 247;13 903 072;0;13 903 072;13 408 793;13 903 072;0;13 903 072;;;;;;;;;
Défense;144;08;6;30 292 000;21 230 000;0;21 230 000;30 292 000;21 230 000;0;21 230 000;;;;;;;;;
Défense;146;06;3;524 479 506;219 150 811;0;219 150 811;326 650 894;429 288 768;0;429 288 768;;;;;;;;;
Défense;146;06;5;1 909 594 169;2 196 336 293;0;2 196 336 293;2 169 482 981;1 471 455 051;0;1 471 455 051;;;;;;;;;
Défense;146;07;3;254 663 086;240 442 130;0;240 442 130;130 536 890;396 551 185;0;396 551 185;;;;;;;;;
Défense;146;07;5;1 547 846 366;1 356 823 683;0;1 356 823 683;382 471 770;879 407 742;0;879 407 742;;;;;;;;;
Défense;146;07;6;0;0;0;0;99 156;0;0;0;;;;;;;;;
Défense;146;08;3;285 390 714;247 272 406;0;247 272 406;177 510 589;211 153 252;0;211 153 252;;;;;;;;;
Défense;146;08;5;537 101 714;1 466 859 342;0;1 466 859 342;782 356 278;720 180 971;0;720 180 971;;;;;;;;;
Défense;146;08;6;0;0;0;0;2 237 972;5 145 743;0;5 145 743;;;;;;;;;
Défense;146;09;3;302 422 469;216 937 107;0;216 937 107;576 464 988;720 951 815;0;720 951 815;;;;;;;;;
Défense;146;09;5;1 852 821 407;3 651 704 209;0;3 651 704 209;3 796 862 779;2 972 408 093;0;2 972 408 093;;;;;;;;;
Défense;146;09;6;0;0;0;0;1 432 966;1 979 001;0;1 979 001;;;;;;;;;
Défense;146;10;3;15 334 530;55 427 769;0;55 427 769;39 819 380;77 028 766;0;77 028 766;;;;;;;;;
Défense;146;10;5;596 893 609;398 136 731;0;398 136 731;326 827 216;259 163 400;0;259 163 400;;;;;;;;;
Défense;146;10;6;0;0;0;0;0;581 501;0;581 501;;;;;;;;;
Défense;146;11;2;2 005 525 123;1 920 557 202;0;1 920 557 202;2 005 525 123;1 920 557 202;0;1 920 557 202;;;;;;;;;
Défense;146;11;3;161 239 842;158 958 495;0;158 958 495;160 321 350;165 243 848;0;165 243 848;;;;;;;;;
Défense;146;11;5;59 526 826;62 679 908;0;62 679 908;58 704 388;56 394 555;0;56 394 555;;;;;;;;;
Défense;146;11;6;2 244 355;1 918 000;0;1 918 000;1 831 275;1 918 000;0;1 918 000;;;;;;;;;
Défense;178;01;2;1 128 717 151;1 106 705 888;0;1 106 705 888;1 128 717 151;1 106 705 888;0;1 106 705 888;;;;;;;;;
Défense;178;01;3;147 993 000;139 223 642;0;139 223 642;147 077 000;142 242 251;0;142 242 251;;;;;;;;;
Défense;178;01;5;188 638 000;158 261 113;0;158 261 113;182 402 000;180 392 034;0;180 392 034;;;;;;;;;
Défense;178;01;6;147 120 000;150 970 116;0;150 970 116;147 120 000;151 041 919;0;151 041 919;;;;;;;;;
Défense;178;02;2;6 342 405 495;6 163 616 198;0;6 163 616 198;6 342 405 495;6 163 616 198;0;6 163 616 198;;;;;;;;;
Défense;178;02;3;1 396 371 691;1 306 945 141;0;1 306 945 141;1 227 228 027;1 263 191 579;0;1 263 191 579;;;;;;;;;
Défense;178;02;5;85 860 000;89 487 071;0;89 487 071;84 160 000;88 217 389;0;88 217 389;;;;;;;;;
Défense;178;02;6;5 200 000;5 130 000;0;5 130 000;5 200 000;5 130 000;0;5 130 000;;;;;;;;;
Défense;178;03;2;2 470 539 416;2 488 907 680;0;2 488 907 680;2 470 539 416;2 488 907 680;0;2 488 907 680;;;;;;;;;
Défense;178;03;3;1 700 612 000;2 020 734 147;0;2 020 734 147;1 725 364 000;1 861 017 659;0;1 861 017 659;;;;;;;;;
Défense;178;03;5;102 538 000;95 421 375;0;95 421 375;112 428 000;105 919 531;0;105 919 531;;;;;;;;;
Défense;178;04;2;2 555 545 990;2 509 303 722;0;2 509 303 722;2 555 545 990;2 509 303 722;0;2 509 303 722;;;;;;;;;
Défense;178;04;3;2 152 620 000;1 876 567 005;0;1 876 567 005;1 748 107 000;1 783 351 623;0;1 783 351 623;;;;;;;;;
Défense;178;04;5;51 605 000;58 158 712;0;58 158 712;52 720 000;39 339 770;0;39 339 770;;;;;;;;;
Défense;178;05;2;2 813 723 316;2 795 977 643;0;2 795 977 643;2 813 723 316;2 795 977 643;0;2 795 977 643;;;;;;;;;
Défense;178;05;3;1 047 356 000;1 169 501 379;0;1 169 501 379;967 956 000;965 522 888;0;965 522 888;;;;;;;;;
Défense;178;05;5;81 275 000;93 540 226;0;93 540 226;81 275 000;92 336 231;0;92 336 231;;;;;;;;;
Défense;178;06;2;210 000 000;170 000 000;0;170 000 000;210 000 000;170 000 000;0;170 000 000;;;;;;;;;
Défense;178;06;3;361 000 000;240 000 000;0;240 000 000;361 000 000;240 000 000;0;240 000 000;;;;;;;;;
Défense;178;06;6;59 000 000;40 000 000;0;40 000 000;59 000 000;40 000 000;0;40 000 000;;;;;;;;;
Défense;178;07;2;11 000 000;11 000 000;0;11 000 000;11 000 000;11 000 000;0;11 000 000;;;;;;;;;
Défense;178;07;3;0;0;0;0;0;0;0;0;;;;;;;;;
Défense;178;07;6;0;0;0;0;0;0;0;0;;;;;;;;;
Défense;212;04;2;317 939 692;317 415 177;0;317 415 177;317 939 692;317 415 177;0;317 415 177;;;;;;;;;
Défense;212;04;3;352 957 986;318 846 116;0;318 846 116;352 957 986;318 846 116;0;318 846 116;;;;;;;;;
Défense;212;04;5;1 143 975 826;1 179 857 250;0;1 179 857 250;482 860 989;617 540 180;0;617 540 180;;;;;;;;;
Défense;212;04;6;3 000 000;8 000 000;0;8 000 000;3 000 000;8 000 000;0;8 000 000;;;;;;;;;
Défense;212;05;3;70 956 825;92 613 794;0;92 613 794;63 738 691;92 533 415;0;92 533 415;;;;;;;;;
Défense;212;05;5;47 304 550;39 691 626;0;39 691 626;42 492 460;39 657 178;0;39 657 178;;;;;;;;;
Défense;212;06;2;389 174 588;392 059 858;0;392 059 858;389 174 588;392 059 858;0;392 059 858;;;;;;;;;
Défense;212;06;3;106 341 021;132 955 192;0;132 955 192;106 225 633;129 355 192;0;129 355 192;;;;;;;;;
Défense;212;06;5;703 097;814 030;0;814 030;703 097;814 030;0;814 030;;;;;;;;;
Défense;212;06;6;1 000;101 500;0;101 500;1 000;101 500;0;101 500;;;;;;;;;
Défense;212;08;2;37 760 426;37 997 812;0;37 997 812;37 760 426;37 997 812;0;37 997 812;;;;;;;;;
Défense;212;08;3;22 456 004;24 226 419;0;24 226 419;22 782 278;23 817 159;0;23 817 159;;;;;;;;;
Défense;212;08;6;261 500;235 000;0;235 000;261 500;235 000;0;235 000;;;;;;;;;
Défense;212;08;7;5 200 000;6 680 733;0;6 680 733;5 200 000;6 680 733;0;6 680 733;;;;;;;;;
Défense;212;10;2;90 317 405;77 027 811;0;77 027 811;90 317 405;77 027 811;0;77 027 811;;;;;;;;;
Défense;212;10;3;7 093 561;8 600 062;0;8 600 062;7 765 384;9 931 275;0;9 931 275;;;;;;;;;
Défense;212;10;5;200 098 603;181 000 000;0;181 000 000;205 844 782;205 320 000;0;205 320 000;;;;;;;;;
Défense;212;10;6;59 967 099;39 421 801;0;39 421 801;27 074 947;41 798 547;0;41 798 547;;;;;;;;;
Défense;212;11;2;381 657 144;385 570 207;0;385 570 207;381 657 144;385 570 207;0;385 570 207;;;;;;;;;
Défense;212;11;3;251 333 571;329 480 197;0;329 480 197;287 235 395;271 866 742;0;271 866 742;;;;;;;;;
Défense;212;11;5;19 230 873;30 262 225;0;30 262 225;20 233 742;37 792 736;0;37 792 736;;;;;;;;;
Défense;212;11;6;0;0;0;0;1 575 097;636 222;0;636 222;;;;;;;;;
Défense;402;01;5;0;1 328 100 000;0;1 328 100 000;0;1 328 100 000;0;1 328 100 000;;;;;;;;;
Défense;402;02;3;0;1 719 000;0;1 719 000;0;1 719 000;0;1 719 000;;;;;;;;;
Défense;402;02;5;0;170 181 000;0;170 181 000;0;170 181 000;0;170 181 000;;;;;;;;;
Direction de l'action du Gouvernement;129;01;2;66 389 540;68 590 111;0;68 590 111;66 389 540;68 590 111;0;68 590 111;;;;;;;;;
Direction de l'action du Gouvernement;129;01;3;56 883 046;50 081 078;0;50 081 078;59 283 046;52 681 108;0;52 681 108;;;;;;;;;
Direction de l'action du Gouvernement;129;01;5;4 210 000;0;0;0;4 050 000;0;0;0;;;;;;;;;
Direction de l'action du Gouvernement;129;01;6;9 167 892;7 554 042;0;7 554 042;9 167 892;7 554 042;0;7 554 042;;;;;;;;;
Direction de l'action du Gouvernement;129;02;2;43 288 638;47 689 459;0;47 689 459;43 288 638;47 689 459;0;47 689 459;;;;;;;;;
Direction de l'action du Gouvernement;129;02;3;98 000 520;97 657 699;0;97 657 699;105 663 205;101 311 105;0;101 311 105;;;;;;;;;
Direction de l'action du Gouvernement;129;02;5;102 905 132;96 716 800;0;96 716 800;100 193 223;94 511 099;0;94 511 099;;;;;;;;;
Direction de l'action du Gouvernement;129;02;6;895 500;1 045 500;0;1 045 500;895 500;1 645 500;0;1 645 500;;;;;;;;;
Direction de l'action du Gouvernement;129;03;2;11 053 124;10 995 986;0;10 995 986;11 053 124;10 995 986;0;10 995 986;;;;;;;;;
Direction de l'action du Gouvernement;129;03;3;4 733 237;5 077 238;0;5 077 238;4 733 237;5 077 238;0;5 077 238;;;;;;;;;
Direction de l'action du Gouvernement;129;10;2;34 513 833;36 655 881;0;36 655 881;34 513 833;36 655 881;0;36 655 881;;;;;;;;;
Direction de l'action du Gouvernement;129;10;3;42 103 656;35 451 750;0;35 451 750;39 968 557;37 882 010;0;37 882 010;;;;;;;;;
Direction de l'action du Gouvernement;129;10;5;3 969 860;2 250 000;0;2 250 000;4 100 781;3 480 477;0;3 480 477;;;;;;;;;
Direction de l'action du Gouvernement;129;10;6;0;1 000 000;0;1 000 000;0;1 000 000;0;1 000 000;;;;;;;;;
Direction de l'action du Gouvernement;129;11;2;12 999 211;13 411 041;0;13 411 041;12 999 211;13 411 041;0;13 411 041;;;;;;;;;
Direction de l'action du Gouvernement;129;11;3;8 002 965;7 071 733;0;7 071 733;8 002 965;7 071 733;0;7 071 733;;;;;;;;;
Direction de l'action du Gouvernement;129;11;6;6 098 903;4 751 303;0;4 751 303;6 098 903;4 751 303;0;4 751 303;;;;;;;;;
Direction de l'action du Gouvernement;129;13;3;23 378 885;23 106 353;0;23 106 353;23 378 885;23 106 353;0;23 106 353;;;;;;;;;
Direction de l'action du Gouvernement;129;13;6;6 000;0;0;0;6 000;0;0;0;;;;;;;;;
Direction de l'action du Gouvernement;129;13;7;2 500 000;2 500 000;0;2 500 000;2 500 000;2 500 000;0;2 500 000;;;;;;;;;
Direction de l'action du Gouvernement;129;14;3;1 345 159;1 354 652;0;1 354 652;1 345 159;1 354 652;0;1 354 652;;;;;;;;;
Direction de l'action du Gouvernement;129;15;2;1 954 368;2 281 867;0;2 281 867;1 954 368;2 281 867;0;2 281 867;;;;;;;;;
Direction de l'action du Gouvernement;129;15;3;5 813 808;5 071 200;0;5 071 200;5 813 808;5 071 200;0;5 071 200;;;;;;;;;
Direction de l'action du Gouvernement;129;15;5;300 000;0;0;0;300 000;0;0;0;;;;;;;;;
Direction de l'action du Gouvernement;129;15;6;13 865 538;13 575 528;0;13 575 528;13 865 538;13 575 528;0;13 575 528;;;;;;;;;
Direction de l'action du Gouvernement;308;02;2;11 720 525;12 406 882;0;12 406 882;11 720 525;12 406 882;0;12 406 882;;;;;;;;;
Direction de l'action du Gouvernement;308;02;3;3 817 732;3 450 037;0;3 450 037;5 797 248;5 498 757;0;5 498 757;;;;;;;;;
Direction de l'action du Gouvernement;308;02;5;0;33 000;0;33 000;0;33 000;0;33 000;;;;;;;;;
Direction de l'action du Gouvernement;308;02;6;6 000;6 000;0;6 000;6 000;6 000;0;6 000;;;;;;;;;
Direction de l'action du Gouvernement;308;03;2;21 198 543;21 045 549;0;21 045 549;21 198 543;21 045 549;0;21 045 549;;;;;;;;;
Direction de l'action du Gouvernement;308;03;3;10 809 560;9 985 814;0;9 985 814;15 809 560;14 735 814;0;14 735 814;;;;;;;;;
Direction de l'action du Gouvernement;308;05;2;3 282 057;3 484 082;0;3 484 082;3 282 057;3 484 082;0;3 484 082;;;;;;;;;
Direction de l'action du Gouvernement;308;05;3;757 157;1 690 369;0;1 690 369;1 012 047;1 075 251;0;1 075 251;;;;;;;;;
Direction de l'action du Gouvernement;308;06;2;1 873 042;1 910 346;0;1 910 346;1 873 042;1 910 346;0;1 910 346;;;;;;;;;
Direction de l'action du Gouvernement;308;06;3;1 179 092;1 187 092;0;1 187 092;1 179 092;1 187 092;0;1 187 092;;;;;;;;;
Direction de l'action du Gouvernement;308;07;2;638 815;640 179;0;640 179;638 815;640 179;0;640 179;;;;;;;;;
Direction de l'action du Gouvernement;308;07;3;147 848;167 032;0;167 032;147 848;167 032;0;167 032;;;;;;;;;
Direction de l'action du Gouvernement;308;07;6;1 500;0;0;0;1 500;0;0;0;;;;;;;;;
Direction de l'action du Gouvernement;308;09;2;15 636 727;16 094 814;0;16 094 814;15 636 727;16 094 814;0;16 094 814;;;;;;;;;
Direction de l'action du Gouvernement;308;09;3;9 184 153;23 068 292;0;23 068 292;13 357 693;13 341 682;0;13 341 682;;;;;;;;;
Direction de l'action du Gouvernement;308;09;6;50 000;0;0;0;50 000;0;0;0;;;;;;;;;
Direction de l'action du Gouvernement;308;10;2;0;2 350 000;0;2 350 000;0;2 350 000;0;2 350 000;;;;;;;;;
Direction de l'action du Gouvernement;308;10;3;0;1 400 000;0;1 400 000;0;500 000;0;500 000;;;;;;;;;
Direction de l'action du Gouvernement;333;01;3;85 586 130;79 500 000;0;79 500 000;85 586 130;79 500 000;0;79 500 000;;;;;;;;;
Direction de l'action du Gouvernement;333;01;5;10 000 000;12 000 000;0;12 000 000;10 000 000;12 000 000;0;12 000 000;;;;;;;;;
Direction de l'action du Gouvernement;333;02;3;415 079 678;399 310 726;0;399 310 726;355 010 191;354 010 191;0;354 010 191;;;;;;;;;
Direction de l'action du Gouvernement;333;03;2;107 718 348;106 884 513;0;106 884 513;107 718 348;106 884 513;0;106 884 513;;;;;;;;;
Direction de l'action du Gouvernement;401;01;5;0;150 000 000;0;150 000 000;0;150 000 000;0;150 000 000;;;;;;;;;
Écologie, développement et mobilité durables;113;01;3;3 100 000;3 537 526;0;3 537 526;3 100 000;2 613 057;0;2 613 057;;;;;;;;;
Écologie, développement et mobilité durables;113;01;6;3 406 000;3 638 474;0;3 638 474;3 406 000;3 562 943;0;3 562 943;;;;;;;;;
Écologie, développement et mobilité durables;113;02;3;3 640 000;6 562 625;0;6 562 625;3 640 000;6 214 500;0;6 214 500;;;;;;;;;
Écologie, développement et mobilité durables;113;07;3;174 517 344;173 127 186;0;173 127 186;174 896 861;172 446 380;0;172 446 380;;;;;;;;;
Écologie, développement et mobilité durables;113;07;5;3 370 000;3 320 000;0;3 320 000;2 970 000;2 920 000;0;2 920 000;;;;;;;;;
Écologie, développement et mobilité durables;113;07;6;88 267 870;88 830 748;0;88 830 748;85 762 354;86 505 158;0;86 505 158;;;;;;;;;
Écologie, développement et mobilité durables;113;07;7;2 900 000;664 375;0;664 375;2 012 333;2 264 333;0;2 264 333;;;;;;;;;
Écologie, développement et mobilité durables;113;08;6;0;0;0;0;2 113 583;2 023 583;0;2 023 583;;;;;;;;;
Écologie, développement et mobilité durables;159;01;3;80 460 000;81 168 800;0;81 168 800;80 460 000;81 168 800;0;81 168 800;;;;;;;;;
Écologie, développement et mobilité durables;159;02;3;15 100 000;15 231 229;0;15 231 229;15 100 000;15 231 229;0;15 231 229;;;;;;;;;
Écologie, développement et mobilité durables;159;03;3;545 000;545 000;0;545 000;545 000;545 000;0;545 000;;;;;;;;;
Écologie, développement et mobilité durables;159;03;6;15 000;15 000;0;15 000;15 000;15 000;0;15 000;;;;;;;;;
Écologie, développement et mobilité durables;170;01;3;191 730 800;185 619 497;0;185 619 497;191 730 800;185 619 497;0;185 619 497;;;;;;;;;
Écologie, développement et mobilité durables;170;02;3;23 729 200;22 941 736;0;22 941 736;23 729 200;22 941 736;0;22 941 736;;;;;;;;;
Écologie, développement et mobilité durables;174;01;3;4 212 500;5 362 500;0;5 362 500;4 962 500;5 671 820;0;5 671 820;;;;;;;;;
Écologie, développement et mobilité durables;174;01;6;1 338 500;497 500;0;497 500;1 479 503;548 504;0;548 504;;;;;;;;;
Écologie, développement et mobilité durables;174;04;3;14 970 000;14 200 000;0;14 200 000;14 970 000;14 200 000;0;14 200 000;;;;;;;;;
Écologie, développement et mobilité durables;174;04;6;574 208 962;535 316 962;0;535 316 962;579 188 772;540 216 962;0;540 216 962;;;;;;;;;
Écologie, développement et mobilité durables;174;05;3;15 682 275;9 551 834;0;9 551 834;15 682 275;9 551 834;0;9 551 834;;;;;;;;;
Écologie, développement et mobilité durables;174;05;6;69 327 083;25 452 010;0;25 452 010;69 327 083;25 452 010;0;25 452 010;;;;;;;;;
Écologie, développement et mobilité durables;174;06;3;1 847 446;1 847 446;0;1 847 446;1 847 446;1 847 446;0;1 847 446;;;;;;;;;
Écologie, développement et mobilité durables;181;01;3;102 424 500;66 573 043;0;66 573 043;103 224 500;67 273 043;0;67 273 043;;;;;;;;;
Écologie, développement et mobilité durables;181;01;5;400 000;200 000;0;200 000;400 000;200 000;0;200 000;;;;;;;;;
Écologie, développement et mobilité durables;181;01;6;128 896 000;185 400 000;0;185 400 000;38 816 565;46 900 000;0;46 900 000;;;;;;;;;
Écologie, développement et mobilité durables;181;09;2;39 782 850;40 676 477;0;40 676 477;39 782 850;40 676 477;0;40 676 477;;;;;;;;;
Écologie, développement et mobilité durables;181;09;3;11 780 000;11 830 000;0;11 830 000;16 795 272;16 645 272;0;16 645 272;;;;;;;;;
Écologie, développement et mobilité durables;181;09;5;500 000;100 000;0;100 000;500 000;300 000;0;300 000;;;;;;;;;
Écologie, développement et mobilité durables;181;09;6;1 208 000;1 550 000;0;1 550 000;1 208 000;1 550 000;0;1 550 000;;;;;;;;;
Écologie, développement et mobilité durables;181;10;3;23 100 000;22 540 000;0;22 540 000;22 440 000;22 540 000;0;22 540 000;;;;;;;;;
Écologie, développement et mobilité durables;181;10;5;11 000 000;6 800 000;0;6 800 000;11 000 000;6 800 000;0;6 800 000;;;;;;;;;
Écologie, développement et mobilité durables;181;10;6;8 510 000;8 500 000;0;8 500 000;8 310 000;8 500 000;0;8 500 000;;;;;;;;;
Écologie, développement et mobilité durables;181;11;3;33 480 000;33 480 000;0;33 480 000;33 480 000;33 480 000;0;33 480 000;;;;;;;;;
Écologie, développement et mobilité durables;181;11;5;520 000;520 000;0;520 000;520 000;520 000;0;520 000;;;;;;;;;
Écologie, développement et mobilité durables;181;11;6;7 800 000;7 800 000;0;7 800 000;7 800 000;7 800 000;0;7 800 000;;;;;;;;;
Écologie, développement et mobilité durables;203;01;3;0;0;0;0;0;0;0;0;;;;;;;;;
Écologie, développement et mobilité durables;203;01;5;0;0;0;0;0;0;0;0;;;;;;;;;
Écologie, développement et mobilité durables;203;01;6;1 000;0;0;0;1 000;0;0;0;;;;;;;;;
Écologie, développement et mobilité durables;203;10;6;3 225 131 962;2 886 232 825;0;2 886 232 825;3 225 131 962;2 886 232 825;0;2 886 232 825;;;;;;;;;
Écologie, développement et mobilité durables;203;11;3;271 276 356;266 863 902;0;266 863 902;271 767 316;266 863 902;0;266 863 902;;;;;;;;;
Écologie, développement et mobilité durables;203;11;5;3 488 048;2 000 000;0;2 000 000;2 960 129;2 011 344;0;2 011 344;;;;;;;;;
Écologie, développement et mobilité durables;203;11;6;72 596 241;59 579 901;0;59 579 901;77 491 756;72 853 901;0;72 853 901;;;;;;;;;
Écologie, développement et mobilité durables;203;12;3;169 970 942;170 173 369;0;170 173 369;169 970 942;170 173 369;0;170 173 369;;;;;;;;;
Écologie, développement et mobilité durables;203;12;5;161 719 831;159 642 571;0;159 642 571;166 507 396;165 102 571;0;165 102 571;;;;;;;;;
Écologie, développement et mobilité durables;203;12;6;5 487 718;5 500 000;0;5 500 000;5 487 718;5 500 000;0;5 500 000;;;;;;;;;
Écologie, développement et mobilité durables;203;13;3;640 842;620 596;0;620 596;640 842;620 596;0;620 596;;;;;;;;;
Écologie, développement et mobilité durables;203;13;5;2 530 615;2 450 665;0;2 450 665;2 530 615;2 450 665;0;2 450 665;;;;;;;;;
Écologie, développement et mobilité durables;203;13;6;97 322 075;46 025 033;0;46 025 033;102 313 281;51 025 033;0;51 025 033;;;;;;;;;
Écologie, développement et mobilité durables;203;14;6;17 778 556;23 825 326;0;23 825 326;27 672 573;28 025 326;0;28 025 326;;;;;;;;;
Écologie, développement et mobilité durables;203;15;3;23 696 638;19 101 645;0;19 101 645;23 696 638;19 101 645;0;19 101 645;;;;;;;;;
Écologie, développement et mobilité durables;203;15;6;8 000;0;0;0;8 000;0;0;0;;;;;;;;;
Écologie, développement et mobilité durables;205;01;3;14 460 737;14 974 368;0;14 974 368;14 690 598;15 151 868;0;15 151 868;;;;;;;;;
Écologie, développement et mobilité durables;205;01;5;9 446 280;8 843 960;0;8 843 960;8 371 170;9 135 479;0;9 135 479;;;;;;;;;
Écologie, développement et mobilité durables;205;01;6;2 298 561;2 300 000;0;2 300 000;2 298 540;2 300 000;0;2 300 000;;;;;;;;;
Écologie, développement et mobilité durables;205;02;3;18 242 417;19 059 719;0;19 059 719;18 242 408;19 059 719;0;19 059 719;;;;;;;;;
Écologie, développement et mobilité durables;205;02;5;334 912;3 296 000;0;3 296 000;334 909;3 296 000;0;3 296 000;;;;;;;;;
Écologie, développement et mobilité durables;205;02;6;8 120 933;7 845 000;0;7 845 000;8 120 704;7 845 000;0;7 845 000;;;;;;;;;
Écologie, développement et mobilité durables;205;03;6;72 151 381;71 065 000;0;71 065 000;72 150 733;71 065 000;0;71 065 000;;;;;;;;;
Écologie, développement et mobilité durables;205;04;3;6 500 925;6 196 704;0;6 196 704;6 331 418;6 216 704;0;6 216 704;;;;;;;;;
Écologie, développement et mobilité durables;205;04;5;3 917 886;3 803 600;0;3 803 600;3 997 592;3 868 600;0;3 868 600;;;;;;;;;
Écologie, développement et mobilité durables;205;04;6;518 318;150 000;0;150 000;518 313;150 000;0;150 000;;;;;;;;;
Écologie, développement et mobilité durables;205;05;3;6 201 060;5 934 729;0;5 934 729;6 599 708;6 334 729;0;6 334 729;;;;;;;;;
Écologie, développement et mobilité durables;205;05;5;139 547;120 000;0;120 000;139 546;120 000;0;120 000;;;;;;;;;
Écologie, développement et mobilité durables;205;06;3;3 159 747;4 045 000;0;4 045 000;3 159 718;4 045 000;0;4 045 000;;;;;;;;;
Écologie, développement et mobilité durables;205;06;6;48 720 885;45 455 000;0;45 455 000;48 720 448;45 455 000;0;45 455 000;;;;;;;;;
Écologie, développement et mobilité durables;217;01;3;42 882 860;232 163 420;0;232 163 420;42 882 860;232 163 420;0;232 163 420;;;;;;;;;
Écologie, développement et mobilité durables;217;01;5;7 345 420;950 400;0;950 400;7 345 420;950 400;0;950 400;;;;;;;;;
Écologie, développement et mobilité durables;217;01;6;8 949 677;8 312 609;0;8 312 609;8 949 677;8 312 609;0;8 312 609;;;;;;;;;
Écologie, développement et mobilité durables;217;02;3;2 953 537;2 892 798;0;2 892 798;2 953 537;2 892 798;0;2 892 798;;;;;;;;;
Écologie, développement et mobilité durables;217;03;3;113 419 191;535 532 048;0;535 532 048;165 113 218;163 170 218;0;163 170 218;;;;;;;;;
Écologie, développement et mobilité durables;217;03;5;9 440 051;1 235 281;0;1 235 281;6 637 876;1 489 351;0;1 489 351;;;;;;;;;
Écologie, développement et mobilité durables;217;04;3;16 611 638;22 566 502;0;22 566 502;18 207 296;22 566 502;0;22 566 502;;;;;;;;;
Écologie, développement et mobilité durables;217;04;5;3 482 000;2 857 235;0;2 857 235;3 761 289;2 857 235;0;2 857 235;;;;;;;;;
Écologie, développement et mobilité durables;217;05;2;126 685 968;125 719 148;0;125 719 148;126 685 968;125 719 148;0;125 719 148;;;;;;;;;
Écologie, développement et mobilité durables;217;05;3;84 844 668;81 590 637;0;81 590 637;84 844 668;81 590 637;0;81 590 637;;;;;;;;;
Écologie, développement et mobilité durables;217;05;6;364 939;270 000;0;270 000;364 939;270 000;0;270 000;;;;;;;;;
Écologie, développement et mobilité durables;217;06;3;689 634;542 563;0;542 563;689 634;542 563;0;542 563;;;;;;;;;
Écologie, développement et mobilité durables;217;06;6;8 392 943;8 561 858;0;8 561 858;8 392 943;8 561 858;0;8 561 858;;;;;;;;;
Écologie, développement et mobilité durables;217;07;2;510 905 368;497 040 879;0;497 040 879;510 905 368;497 040 879;0;497 040 879;;;;;;;;;
Écologie, développement et mobilité durables;217;08;2;645 927 204;635 721 650;0;635 721 650;645 927 204;635 721 650;0;635 721 650;;;;;;;;;
Écologie, développement et mobilité durables;217;09;2;43 025 968;39 495 691;0;39 495 691;43 025 968;39 495 691;0;39 495 691;;;;;;;;;
Écologie, développement et mobilité durables;217;11;2;182 877 881;182 412 263;0;182 412 263;182 877 881;182 412 263;0;182 412 263;;;;;;;;;
